h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.59864,1.34099,1.59864,1.34099,"{'att': 274, 'def': 30}","{'att': 204, 'def': 15}",6,4,1,1,1.5905,d,2019-08-10 15:00:00,0,1,0,1,0.25765000000000016
h,1.84778,0.241912,1.84778,0.241912,"{'att': 278, 'def': 25}","{'att': 174, 'def': 15}",2,5,1,0,2.6386,w,2019-08-18 14:00:00,1,0,0,3,1.605868
h,0.654318,0.704879,0.654318,0.704879,"{'att': 262, 'def': 23}","{'att': 152, 'def': 17}",4,9,1,2,1.2765,l,2019-08-24 15:00:00,0,0,1,0,-0.05056100000000008
a,1.04649,2.30579,1.04649,2.30579,"{'att': 502, 'def': 24}","{'att': 253, 'def': 17}",5,4,2,2,0.527,d,2019-08-31 15:00:00,0,1,0,1,-1.2593
h,1.88034,1.57659,1.88034,1.57659,"{'att': 263, 'def': 21}","{'att': 218, 'def': 17}",8,7,0,1,1.5811,l,2019-09-14 14:00:00,0,0,1,0,0.30374999999999996
a,0.508011,1.26041,0.508011,1.26041,"{'att': 263, 'def': 20}","{'att': 96, 'def': 17}",2,9,2,0,0.7021999999999999,w,2019-09-21 14:00:00,1,0,0,3,-0.752399
h,1.17022,1.97079,1.17022,1.97079,"{'att': 412, 'def': 17}","{'att': 124, 'def': 11}",1,11,0,1,0.7802,l,2019-09-28 11:30:00,0,0,1,0,-0.80057
a,0.353724,1.44318,0.353724,1.44318,"{'att': 148, 'def': 22}","{'att': 310, 'def': 16}",5,2,0,0,0.4004,d,2019-10-05 14:00:00,0,1,0,1,-1.089456
