h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.87159,1.2246,0.87159,1.2246,"{'att': 294, 'def': 26}","{'att': 110, 'def': 27}",5,5,0,0,1.0512,d,2019-08-10 15:00:00,0,1,0,1,-0.35300999999999993
a,0.241912,1.84778,0.241912,1.84778,"{'att': 174, 'def': 15}","{'att': 278, 'def': 25}",5,2,0,1,0.22060000000000002,l,2019-08-18 14:00:00,0,0,1,0,-1.605868
a,0.676993,2.23561,0.676993,1.47444,"{'att': 275, 'def': 18}","{'att': 96, 'def': 14}",2,7,2,1,0.35029999999999994,w,2019-08-24 15:00:00,1,0,0,3,-0.797447
h,1.41394,0.30354,1.41394,0.30354,"{'att': 216, 'def': 24}","{'att': 226, 'def': 25}",13,5,1,0,2.2757,w,2019-08-31 15:00:00,1,0,0,3,1.1104
a,0.577323,1.04944,0.577323,1.04944,"{'att': 410, 'def': 24}","{'att': 216, 'def': 33}",5,8,0,4,0.8706999999999999,l,2019-09-14 14:00:00,0,0,1,0,-0.4721169999999999
h,0.984777,1.75572,0.984777,1.75572,"{'att': 265, 'def': 19}","{'att': 263, 'def': 21}",6,5,1,1,0.7636000000000001,d,2019-09-22 13:00:00,0,1,0,1,-0.7709429999999999
h,1.80497,0.712129,1.0438,0.712129,"{'att': 294, 'def': 23}","{'att': 164, 'def': 18}",11,10,2,0,2.2533,w,2019-09-28 14:00:00,1,0,0,3,0.33167100000000005
a,2.0682,1.23577,1.30703,1.23577,"{'att': 281, 'def': 14}","{'att': 281, 'def': 19}",7,7,2,1,2.1092,w,2019-10-05 16:30:00,1,0,0,3,0.07125999999999988
