h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.08752,0.909241,1.08752,0.909241,"{'att': 143, 'def': 26}","{'att': 167, 'def': 18}",9,0,0,3,1.5136,l,2019-08-10 15:00:00,0,0,1,0,0.17827900000000008
h,2.14047,1.52022,2.14047,1.52022,"{'att': 288, 'def': 24}","{'att': 132, 'def': 14}",1,6,1,2,1.8258999999999999,l,2019-08-17 15:00:00,0,0,1,0,0.6202500000000002
a,2.07795,0.997711,2.07795,0.997711,"{'att': 215, 'def': 20}","{'att': 211, 'def': 23}",6,6,2,0,2.2194000000000003,w,2019-08-24 15:00:00,1,0,0,3,1.080239
h,0.769616,1.90356,0.769616,1.90356,"{'att': 260, 'def': 39}","{'att': 190, 'def': 14}",6,13,1,1,0.5769,d,2019-08-31 12:30:00,0,1,0,1,-1.133944
a,1.57659,1.88034,1.57659,1.88034,"{'att': 218, 'def': 17}","{'att': 263, 'def': 21}",7,8,1,0,1.1662,w,2019-09-14 14:00:00,1,0,0,3,-0.30374999999999996
h,2.18021,1.29773,1.41904,1.29773,"{'att': 143, 'def': 35}","{'att': 287, 'def': 16}",6,2,1,3,2.0278,l,2019-09-20 19:00:00,0,0,1,0,0.12131000000000003
a,1.16256,1.19008,1.16256,1.19008,"{'att': 209, 'def': 37}","{'att': 254, 'def': 8}",8,7,1,2,1.3081999999999998,l,2019-09-28 14:00:00,0,0,1,0,-0.02751999999999999
h,1.27044,2.15201,1.27044,2.15201,"{'att': 283, 'def': 26}","{'att': 211, 'def': 19}",5,10,1,4,0.7488,l,2019-10-06 13:00:00,0,0,1,0,-0.8815700000000002
