h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.543759,0.812949,0.543759,0.812949,"{'att': 148, 'def': 23}","{'att': 392, 'def': 21}",7,3,0,0,1.0341,d,2019-08-11 14:00:00,0,1,0,1,-0.26919000000000004
a,0.947941,1.22629,0.947941,1.22629,"{'att': 233, 'def': 37}","{'att': 275, 'def': 26}",5,4,1,1,1.0811,d,2019-08-18 16:30:00,0,1,0,1,-0.27834900000000007
a,0.704879,0.654318,0.704879,0.654318,"{'att': 152, 'def': 17}","{'att': 262, 'def': 23}",9,4,2,1,1.3217999999999999,w,2019-08-24 15:00:00,1,0,0,3,0.05056100000000008
h,2.23766,0.554726,2.23766,0.554726,"{'att': 242, 'def': 35}","{'att': 320, 'def': 32}",10,7,3,1,2.6031,w,2019-08-31 15:00:00,1,0,0,3,1.682934
a,0.459141,1.10019,0.459141,0.339017,"{'att': 167, 'def': 35}","{'att': 243, 'def': 25}",4,4,0,1,0.6281000000000001,l,2019-09-14 14:00:00,0,0,1,0,0.12012400000000001
h,1.28752,1.33735,1.28752,1.33735,"{'att': 234, 'def': 22}","{'att': 191, 'def': 34}",7,9,2,1,1.3097,w,2019-09-21 11:30:00,1,0,0,3,-0.04983000000000004
h,1.82438,0.054134,1.82438,0.054134,"{'att': 189, 'def': 34}","{'att': 393, 'def': 11}",13,1,5,0,2.7768,w,2019-09-29 15:30:00,1,0,0,3,1.770246
a,0.0982107,3.74867,0.0982107,2.9875,"{'att': 259, 'def': 28}","{'att': 249, 'def': 32}",4,12,1,2,0.0114,l,2019-10-05 14:00:00,0,0,1,0,-2.8892892999999997
