h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.2003,3.18377,1.2003,2.42264,"{'att': 328, 'def': 20}","{'att': 215, 'def': 31}",1,9,0,5,0.2522,l,2019-08-10 12:30:00,0,0,1,0,-1.22234
a,1.00856,2.40461,1.00856,2.40461,"{'att': 275, 'def': 31}","{'att': 192, 'def': 35}",4,8,1,1,0.4871,d,2019-08-17 15:00:00,0,1,0,1,-1.39605
a,3.45768,2.29348,2.69651,2.29348,"{'att': 246, 'def': 19}","{'att': 195, 'def': 21}",10,20,3,1,2.1833,w,2019-08-24 15:00:00,1,0,0,3,0.4030299999999998
h,2.20657,1.1674,2.20657,1.1674,"{'att': 298, 'def': 38}","{'att': 236, 'def': 27}",12,5,2,0,2.1159000000000003,w,2019-08-31 15:00:00,1,0,0,3,1.0391700000000001
a,0.535279,1.40502,0.535279,1.40502,"{'att': 222, 'def': 22}","{'att': 213, 'def': 22}",9,4,0,0,0.5889,d,2019-09-16 19:00:00,0,1,0,1,-0.869741
h,0.51376,1.27826,0.51376,1.27826,"{'att': 284, 'def': 19}","{'att': 189, 'def': 11}",4,5,2,0,0.6305,w,2019-09-22 13:00:00,1,0,0,3,-0.7645
a,1.29546,2.31957,1.29546,2.31957,"{'att': 262, 'def': 20}","{'att': 225, 'def': 20}",17,8,2,2,0.7235,d,2019-09-28 14:00:00,0,1,0,1,-1.02411
h,1.23577,2.0682,1.23577,1.30703,"{'att': 281, 'def': 19}","{'att': 281, 'def': 14}",7,7,1,2,0.6572,l,2019-10-05 16:30:00,0,0,1,0,-0.07125999999999988
