h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.2246,0.87159,1.2246,0.87159,"{'att': 110, 'def': 27}","{'att': 294, 'def': 26}",5,5,0,0,1.6257,d,2019-08-10 15:00:00,0,1,0,1,0.35300999999999993
h,0.832913,1.17279,0.832913,1.17279,"{'att': 195, 'def': 22}","{'att': 157, 'def': 40}",4,3,1,0,1.0150000000000001,w,2019-08-17 15:00:00,1,0,0,3,-0.339877
a,1.25668,0.855926,1.25668,0.855926,"{'att': 146, 'def': 27}","{'att': 265, 'def': 20}",12,6,0,2,1.7245,l,2019-08-23 20:00:00,0,0,1,0,0.40075400000000005
h,1.48842,2.00172,1.48842,2.00172,"{'att': 160, 'def': 30}","{'att': 242, 'def': 12}",4,5,3,2,0.9823999999999999,w,2019-09-01 14:00:00,1,0,0,3,-0.5133000000000001
a,1.50641,1.41542,1.50641,1.41542,"{'att': 171, 'def': 31}","{'att': 266, 'def': 22}",9,3,1,3,1.4259,l,2019-09-15 13:00:00,0,0,1,0,0.09099000000000013
h,1.26041,0.508011,1.26041,0.508011,"{'att': 96, 'def': 17}","{'att': 263, 'def': 20}",9,2,0,2,1.9885999999999997,l,2019-09-21 14:00:00,0,0,1,0,0.752399
h,2.35854,3.1082,2.35854,3.1082,"{'att': 392, 'def': 12}","{'att': 204, 'def': 21}",6,13,1,3,0.9393,l,2019-09-28 16:30:00,0,0,1,0,-0.74966
a,1.30723,0.558912,1.30723,0.558912,"{'att': 156, 'def': 20}","{'att': 273, 'def': 14}",4,6,0,1,2.0524,l,2019-10-05 14:00:00,0,0,1,0,0.7483179999999999
