h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.09534,2.37442,1.09534,1.61326,"{'att': 271, 'def': 42}","{'att': 281, 'def': 31}",4,8,0,4,0.4992,l,2019-08-11 16:30:00,0,0,1,0,-0.5179199999999999
h,1.22629,0.947941,1.22629,0.947941,"{'att': 275, 'def': 26}","{'att': 233, 'def': 37}",4,5,1,1,1.6180999999999999,d,2019-08-18 16:30:00,0,1,0,1,0.27834900000000007
a,1.89428,1.07904,1.89428,1.07904,"{'att': 302, 'def': 22}","{'att': 290, 'def': 29}",12,5,3,2,1.9533,w,2019-08-24 12:30:00,1,0,0,3,0.81524
h,2.30579,1.04649,2.30579,1.04649,"{'att': 253, 'def': 17}","{'att': 502, 'def': 24}",4,5,2,2,2.2781000000000002,d,2019-08-31 15:00:00,0,1,0,1,1.2593
a,3.06799,1.49359,3.06799,1.49359,"{'att': 213, 'def': 30}","{'att': 367, 'def': 28}",6,5,5,2,2.4323,w,2019-09-14 14:00:00,1,0,0,3,1.5744
h,1.23321,1.03003,1.23321,1.03003,"{'att': 186, 'def': 16}","{'att': 277, 'def': 35}",5,5,1,2,1.5191,l,2019-09-22 15:30:00,0,0,1,0,0.20317999999999992
h,4.26443,0.616263,3.50326,0.616263,"{'att': 349, 'def': 24}","{'att': 332, 'def': 26}",9,0,2,0,2.9360999999999997,w,2019-09-28 14:00:00,1,0,0,3,2.886997
a,2.15201,1.27044,2.15201,1.27044,"{'att': 211, 'def': 19}","{'att': 283, 'def': 26}",10,5,4,1,2.0187,w,2019-10-06 13:00:00,1,0,0,3,0.8815700000000002
