h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,2.37442,1.09534,1.61326,1.09534,"{'att': 281, 'def': 31}","{'att': 271, 'def': 42}",8,4,4,0,2.3226,w,2019-08-11 16:30:00,1,0,0,3,0.5179199999999999
a,1.14332,0.307356,0.382148,0.307356,"{'att': 184, 'def': 22}","{'att': 399, 'def': 20}",9,5,1,1,2.3024,d,2019-08-19 20:00:00,0,1,0,1,0.07479199999999997
h,2.23561,0.676993,1.47444,0.676993,"{'att': 96, 'def': 14}","{'att': 275, 'def': 18}",7,2,1,2,2.4880999999999998,l,2019-08-24 15:00:00,0,0,1,0,0.797447
a,1.90356,0.769616,1.90356,0.769616,"{'att': 190, 'def': 14}","{'att': 260, 'def': 39}",13,6,1,1,2.202,d,2019-08-31 12:30:00,0,1,0,1,1.133944
h,1.10019,0.459141,0.339017,0.459141,"{'att': 243, 'def': 25}","{'att': 167, 'def': 35}",4,4,1,0,2.0657,w,2019-09-14 14:00:00,1,0,0,3,-0.12012400000000001
a,1.27826,0.51376,1.27826,0.51376,"{'att': 189, 'def': 11}","{'att': 284, 'def': 19}",5,4,0,2,2.0981,l,2019-09-22 13:00:00,0,0,1,0,0.7645
h,1.1335,1.70399,1.1335,1.70399,"{'att': 160, 'def': 27}","{'att': 243, 'def': 24}",5,7,1,1,0.9196,d,2019-09-30 19:00:00,0,1,0,1,-0.5704899999999999
a,0.969204,0.650296,0.969204,0.650296,"{'att': 150, 'def': 22}","{'att': 313, 'def': 11}",5,1,0,1,1.6237,l,2019-10-06 15:30:00,0,0,1,0,0.31890799999999997
