h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.670022,0.855516,0.670022,0.855516,"{'att': 274, 'def': 28}","{'att': 230, 'def': 20}",7,5,0,3,1.0922,l,2019-08-10 15:00:00,0,0,1,0,-0.18549400000000005
a,1.17279,0.832913,1.17279,0.832913,"{'att': 157, 'def': 40}","{'att': 195, 'def': 22}",3,4,0,1,1.663,l,2019-08-17 15:00:00,0,0,1,0,0.339877
h,2.29348,3.45768,2.29348,2.69651,"{'att': 195, 'def': 21}","{'att': 246, 'def': 19}",20,10,1,3,0.6389,l,2019-08-24 15:00:00,0,0,1,0,-0.4030299999999998
a,1.1068,1.04131,1.1068,1.04131,"{'att': 252, 'def': 21}","{'att': 294, 'def': 15}",6,2,1,1,1.3860999999999999,d,2019-08-31 15:00:00,0,1,0,1,0.06549000000000005
h,2.83209,1.00616,2.07092,1.00616,"{'att': 254, 'def': 28}","{'att': 257, 'def': 12}",12,7,2,2,2.5551,d,2019-09-15 15:30:00,0,1,0,1,1.0647600000000002
a,0.344718,6.63049,0.344718,5.86932,"{'att': 430, 'def': 12}","{'att': 238, 'def': 21}",1,13,0,8,0.0004,l,2019-09-21 14:00:00,0,0,1,0,-5.524602
a,1.06615,1.16363,1.06615,1.16363,"{'att': 239, 'def': 21}","{'att': 367, 'def': 16}",10,5,0,2,1.1868,l,2019-09-28 14:00:00,0,0,1,0,-0.09748000000000001
h,1.44318,0.353724,1.44318,0.353724,"{'att': 310, 'def': 16}","{'att': 148, 'def': 22}",2,5,0,0,2.3876,d,2019-10-05 14:00:00,0,1,0,1,1.089456
