h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.380551,1.13309,0.380551,1.13309,"{'att': 383, 'def': 29}","{'att': 210, 'def': 19}",1,10,0,1,0.6213,l,2019-08-11 14:00:00,0,0,1,0,-0.752539
a,0.920429,2.09572,0.920429,2.09572,"{'att': 350, 'def': 20}","{'att': 195, 'def': 14}",6,9,1,3,0.565,l,2019-08-17 15:00:00,0,0,1,0,-1.175291
a,0.51428,1.25927,0.51428,1.25927,"{'att': 323, 'def': 10}","{'att': 92, 'def': 19}",5,8,1,0,0.6756,w,2019-08-25 16:30:00,1,0,0,3,-0.7449899999999999
h,1.04131,1.1068,1.04131,1.1068,"{'att': 294, 'def': 15}","{'att': 252, 'def': 21}",2,6,1,1,1.3018,d,2019-08-31 15:00:00,0,1,0,1,-0.06549000000000005
a,0.291073,2.93281,0.291073,2.93281,"{'att': 419, 'def': 10}","{'att': 167, 'def': 24}",4,19,1,3,0.0716,l,2019-09-14 11:30:00,0,0,1,0,-2.641737
h,1.09807,1.21592,1.09807,1.21592,"{'att': 458, 'def': 20}","{'att': 128, 'def': 21}",4,6,0,0,1.2702,d,2019-09-21 16:30:00,0,1,0,1,-0.11784999999999979
a,0.054134,1.82438,0.054134,1.82438,"{'att': 393, 'def': 11}","{'att': 189, 'def': 34}",1,13,0,5,0.12,l,2019-09-29 15:30:00,0,0,1,0,-1.770246
h,0.650296,0.969204,0.650296,0.969204,"{'att': 313, 'def': 11}","{'att': 150, 'def': 22}",1,5,1,0,1.0303,w,2019-10-06 15:30:00,1,0,0,3,-0.31890799999999997
