h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,3.18377,1.2003,2.42264,1.2003,"{'att': 215, 'def': 31}","{'att': 328, 'def': 20}",9,1,5,0,2.6311999999999998,w,2019-08-10 12:30:00,1,0,0,3,1.22234
h,3.20076,0.074542,3.20076,0.074542,"{'att': 386, 'def': 43}","{'att': 330, 'def': 7}",10,2,2,2,2.9323,d,2019-08-17 17:30:00,0,1,0,1,3.1262179999999997
a,3.12856,1.89345,3.12856,1.89345,"{'att': 119, 'def': 23}","{'att': 458, 'def': 20}",17,3,3,1,2.1653000000000002,w,2019-08-25 14:00:00,1,0,0,3,1.2351099999999997
h,2.30818,0.861035,2.30818,0.861035,"{'att': 366, 'def': 32}","{'att': 346, 'def': 16}",16,7,4,0,2.3849,w,2019-08-31 15:00:00,1,0,0,3,1.4471450000000001
a,2.34436,1.7413,2.34436,1.7413,"{'att': 191, 'def': 24}","{'att': 258, 'def': 14}",14,6,2,3,1.7614999999999998,l,2019-09-14 16:30:00,0,0,1,0,0.6030599999999999
h,6.63049,0.344718,5.86932,0.344718,"{'att': 238, 'def': 21}","{'att': 430, 'def': 12}",13,1,8,0,2.9992,w,2019-09-21 14:00:00,1,0,0,3,5.524602
a,3.1082,2.35854,3.1082,2.35854,"{'att': 204, 'def': 21}","{'att': 392, 'def': 12}",13,6,3,1,1.8485999999999998,w,2019-09-28 16:30:00,1,0,0,3,0.74966
h,1.61884,1.18825,1.61884,1.18825,"{'att': 107, 'def': 26}","{'att': 315, 'def': 16}",13,1,0,2,1.6896,l,2019-10-06 13:00:00,0,0,1,0,0.43059000000000003
