h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.34099,1.59864,1.34099,1.59864,"{'att': 204, 'def': 15}","{'att': 274, 'def': 30}",4,6,1,1,1.0171999999999999,d,2019-08-10 15:00:00,0,1,0,1,-0.25765000000000016
a,1.62777,1.65069,0.866605,1.65069,"{'att': 268, 'def': 25}","{'att': 117, 'def': 9}",9,12,2,1,1.3578,w,2019-08-17 15:00:00,1,0,0,3,-0.784085
h,1.89345,3.12856,1.89345,3.12856,"{'att': 458, 'def': 20}","{'att': 119, 'def': 23}",3,17,1,3,0.6611,l,2019-08-25 14:00:00,0,0,1,0,-1.2351099999999997
a,0.554726,2.23766,0.554726,2.23766,"{'att': 320, 'def': 32}","{'att': 242, 'def': 35}",7,10,1,3,0.2616,l,2019-08-31 15:00:00,0,0,1,0,-1.682934
h,1.41542,1.50641,1.41542,1.50641,"{'att': 266, 'def': 22}","{'att': 171, 'def': 31}",3,9,3,1,1.2948,w,2019-09-15 13:00:00,1,0,0,3,-0.09099000000000013
a,1.29773,2.18021,1.29773,1.41904,"{'att': 287, 'def': 16}","{'att': 143, 'def': 35}",2,6,3,1,0.7326999999999999,w,2019-09-20 19:00:00,1,0,0,3,-0.12131000000000003
h,2.31957,1.29546,2.31957,1.29546,"{'att': 225, 'def': 20}","{'att': 262, 'def': 20}",8,17,2,2,2.0753,d,2019-09-28 14:00:00,0,1,0,1,1.02411
a,0.683967,1.24109,0.683967,1.24109,"{'att': 235, 'def': 23}","{'att': 246, 'def': 35}",7,10,0,1,0.8124,l,2019-10-06 13:00:00,0,0,1,0,-0.557123
