h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,2.57262,0.639599,2.57262,0.639599,"{'att': 147, 'def': 28}","{'att': 255, 'def': 19}",15,2,3,1,2.5932999999999997,w,2019-08-10 17:30:00,1,0,0,3,1.933021
a,0.074542,3.20076,0.074542,3.20076,"{'att': 330, 'def': 7}","{'att': 386, 'def': 43}",2,10,2,2,0.037599999999999995,d,2019-08-17 17:30:00,0,1,0,1,-3.1262179999999997
h,1.25927,0.51428,1.25927,0.51428,"{'att': 92, 'def': 19}","{'att': 323, 'def': 10}",8,5,0,1,2.0469,l,2019-08-25 16:30:00,0,0,1,0,0.7449899999999999
a,1.95514,1.92509,1.19397,1.92509,"{'att': 207, 'def': 17}","{'att': 224, 'def': 33}",6,12,2,2,1.4545,d,2019-09-01 16:30:00,0,1,0,1,-0.73112
h,1.04944,0.577323,1.04944,0.577323,"{'att': 216, 'def': 33}","{'att': 410, 'def': 24}",8,5,4,0,1.7965,w,2019-09-14 14:00:00,1,0,0,3,0.4721169999999999
a,1.33735,1.28752,1.33735,1.28752,"{'att': 191, 'def': 34}","{'att': 234, 'def': 22}",9,7,1,2,1.4105,l,2019-09-21 11:30:00,0,0,1,0,0.04983000000000004
h,1.19008,1.16256,1.19008,1.16256,"{'att': 254, 'def': 8}","{'att': 209, 'def': 37}",7,8,2,1,1.3805,w,2019-09-28 14:00:00,1,0,0,3,0.02751999999999999
a,0.478504,2.60017,0.478504,2.60017,"{'att': 259, 'def': 17}","{'att': 301, 'def': 37}",4,12,0,3,0.1078,l,2019-10-05 11:30:00,0,0,1,0,-2.121666
