h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.909241,1.08752,0.909241,1.08752,"{'att': 167, 'def': 18}","{'att': 143, 'def': 26}",0,9,3,0,1.1422,w,2019-08-10 15:00:00,1,0,0,3,-0.17827900000000008
a,1.39172,1.1644,1.39172,1.1644,"{'att': 296, 'def': 26}","{'att': 85, 'def': 16}",4,8,1,2,1.5631000000000002,l,2019-08-17 12:30:00,0,0,1,0,0.22731999999999997
a,1.22762,1.32793,1.22762,0.56676,"{'att': 307, 'def': 21}","{'att': 142, 'def': 12}",4,4,1,1,1.2223,d,2019-08-25 16:30:00,0,1,0,1,0.6608599999999999
h,0.61739,1.20057,0.61739,1.20057,"{'att': 309, 'def': 19}","{'att': 149, 'def': 24}",0,11,0,3,0.8487,l,2019-08-31 17:30:00,0,0,1,0,-0.5831799999999999
a,0.341654,1.68545,0.341654,1.68545,"{'att': 242, 'def': 20}","{'att': 111, 'def': 28}",4,13,1,1,0.3291,d,2019-09-14 14:00:00,0,1,0,1,-1.3437959999999998
h,2.39312,0.801428,2.39312,0.801428,"{'att': 292, 'def': 25}","{'att': 149, 'def': 10}",7,9,2,0,2.5163,w,2019-09-21 14:00:00,1,0,0,3,1.591692
a,1.66919,0.914266,1.66919,0.914266,"{'att': 199, 'def': 22}","{'att': 121, 'def': 20}",2,3,2,2,1.9909,d,2019-09-28 14:00:00,0,1,0,1,0.7549239999999999
h,0.558912,1.30723,0.558912,1.30723,"{'att': 273, 'def': 14}","{'att': 156, 'def': 20}",6,4,1,0,0.6769000000000001,w,2019-10-05 14:00:00,1,0,0,3,-0.7483179999999999
