id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
1679,Dominic Solanke,8,374,0,1.175083827227354,0,0.42384042125195265,11,4,0,0,F S,Bournemouth,0,1.175083827227354,2.576927948743105,1.5817149430513382
1685,Ahmed Elmohamady,5,222,0,0,0,0.6188324317336082,0,7,0,0,D S,Aston Villa,0,0,1.1437367144972086,0.9864747524261475
1687,Harry Maguire,8,720,0,1.1270942138507962,0,0.15754256770014763,8,6,1,0,D,Manchester United,0,1.1270942138507962,1.5821258053183556,1.4792745150625706
1688,Andrew Robertson,8,720,0,0.695196770131588,2,1.4140775091946125,9,10,0,0,D,Liverpool,0,0.695196770131588,3.6958000138401985,2.6899489536881447
1691,Robert Snodgrass,4,140,0,0.26954926550388336,0,0.49300631508231163,2,2,1,0,M S,West Ham,0,0.26954926550388336,0.41030383110046387,0.11806648038327694
1719,Javier Manquillo,4,209,0,0,0,0.013571692630648613,0,1,1,0,D M S,Newcastle United,0,0,0.0647675059735775,0.05119581427425146
1724,Isaac Success,2,30,0,0.09479810297489166,0,0.05467768758535385,1,1,0,0,S,Watford,0,0.09479810297489166,0.17312870919704437,0.02365291491150856
1725,Christian Kabasele,3,270,0,0.020495634526014328,0,0,1,0,0,0,D,Watford,0,0.020495634526014328,0.5700499191880226,0.5700499191880226
1726,Abdoulaye Doucouré,8,704,0,1.3521823082119226,0,0.6953955367207527,13,10,1,0,M,Watford,0,1.3521823082119226,4.0753900445997715,2.8513778913766146
1729,Georges-Kévin Nkoudou,1,1,0,0.056358423084020615,0,0,1,0,0,0,S,Tottenham,0,0.056358423084020615,0.056358423084020615,0
1734,Sofiane Boufal,7,367,0,0.6391365872696042,2,1.7632111944258213,11,8,0,0,M S,Southampton,0,0.6391365872696042,3.3826968669891357,1.7071041390299797
1735,Jack Stephens,1,76,0,0,0,0,0,0,0,0,D,Southampton,0,0,0.5794821977615356,0.5794821977615356
1740,Paul Pogba,5,450,0,1.105639398097992,2,1.2481929957866669,9,13,0,0,M,Manchester United,0,0.34447054006159306,2.460714817047119,1.8189807757735252
1750,Ainsley Maitland-Niles,6,490,0,0.40764421597123146,2,1.3057147189974785,3,7,0,1,D,Arsenal,0,0.40764421597123146,2.673346519470215,1.1955523528158665
1760,Arthur Masuaku,4,339,0,0.031528474763035774,1,1.0935445241630077,2,4,1,1,D,West Ham,0,0.031528474763035774,2.563217654824257,2.406195342540741
1785,Nampalys Mendy,1,1,0,0,0,0,0,0,0,0,S,Leicester,0,0,0,0
1789,Lewis Cook,3,90,0,0,0,0,0,0,0,0,M S,Bournemouth,0,0,0.05478932335972786,0.05478932335972786
1822,Antonio Rüdiger,1,48,0,0.0745154619216919,0,0,1,0,0,0,D,Chelsea,0,0.0745154619216919,0.0655272826552391,0.0655272826552391
1823,Lucas Digne,8,705,0,0.40436616260558367,2,1.7491492507979274,11,17,1,0,D,Everton,0,0.40436616260558367,1.4181344378739595,0.9933642819523811
1883,Ravel Morrison,1,11,0,0.02669377438724041,0,0,1,0,0,0,S,Sheffield United,0,0.02669377438724041,0,0
1950,Martín Montoya,7,630,0,0.0806557685136795,0,0.4934089258313179,2,5,1,0,D M,Brighton,0,0.0806557685136795,2.5255977660417557,2.1299070566892624
2132,Jota,5,250,0,0.050109053030610085,1,0.5682314299046993,2,4,0,0,F M S,Aston Villa,0,0.050109053030610085,1.3808825872838497,0.7870244979858398
2182,Jefferson Lerma,8,642,0,0.09927379712462425,0,0.03822242468595505,5,1,4,0,M S,Bournemouth,0,0.09927379712462425,1.7984170503914356,1.6609208807349205
2190,Vicente Guaita,8,720,0,0,0,0,0,0,1,0,GK,Crystal Palace,0,0,0.49297572299838066,0.49297572299838066
2203,Emiliano Buendía,8,714,0,0.6660129632800817,4,1.8640301991254091,11,20,1,0,M,Norwich,0,0.6660129632800817,5.4205165803432465,3.551216382533312
2254,Mateo Kovacic,8,473,0,0.23665481433272362,1,0.5788947269320488,3,6,1,0,M S,Chelsea,0,0.23665481433272362,2.34000987932086,2.1035841070115566
2280,Jonny,7,554,0,0.221926711499691,0,0.12135466560721397,6,2,1,0,M S,Wolverhampton Wanderers,0,0.221926711499691,2.2555614691227674,1.9760321117937565
2335,Pablo Fornals,8,337,0,0.39629186503589153,0,0.20711037889122963,8,5,0,0,M S,West Ham,0,0.39629186503589153,0.568757800385356,0.15216049924492836
2344,Christian Atsu,6,434,0,0.17715603858232498,2,0.6255716234445572,3,9,1,0,M S,Newcastle United,0,0.17715603858232498,0.9870642498135567,0.2862574774771929
2379,João Cancelo,3,124,0,0.0268949493765831,0,0.4306655824184418,2,1,1,0,D S,Manchester City,0,0.0268949493765831,1.9631460905075073,1.9362511336803436
2383,André Gomes,5,319,0,0.011384276673197746,0,0.2681083381175995,1,4,2,0,M S,Everton,0,0.011384276673197746,0.5540678724646568,0.27457526326179504
2385,Mat Ryan,8,720,0,0,0,0,0,0,0,0,GK,Brighton,0,0,1.180134579539299,1.180134579539299
2390,Víctor Camarasa,1,3,0,0,0,0,0,0,0,0,S,Crystal Palace,0,0,0.06537716835737228,0.06537716835737228
2446,Dani Ceballos,8,443,0,0.21860811114311218,2,0.46007080748677254,7,9,0,0,M S,Arsenal,0,0.21860811114311218,2.9987889528274536,2.551459237933159
2498,Aymeric Laporte,4,306,0,0.08190283179283142,0,0.1450343132019043,1,2,1,0,D,Manchester City,0,0.08190283179283142,3.1033012717962265,3.034108027815819
2509,Dimitri Foulquier,1,32,0,0,0,0,0,0,0,0,M,Watford,0,0,0,0
2662,Christian Pulisic,5,286,0,0.8302406221628189,2,0.9948192127048969,4,5,0,0,F S,Chelsea,0,0.8302406221628189,2.8633534908294678,1.8617497384548187
2958,Oleksandr Zinchenko,7,582,0,0.2865631803870201,0,0.6756686009466648,8,11,0,0,D S,Manchester City,0,0.2865631803870201,6.240607857704163,5.848209206014872
3203,Issa Diop,8,720,0,0.6391581520438194,0,0.4077252149581909,4,1,1,0,D,West Ham,0,0.6391581520438194,0.6731364130973816,0.6120378971099854
3253,Frederic Guilbert,6,537,0,0.2016809731721878,1,0.25377182103693485,4,4,2,0,D,Aston Villa,0,0.2016809731721878,1.5447360221296549,1.2637783382087946
3357,Djibril Sidibe,1,29,0,0,0,0,0,0,1,0,S,Everton,0,0,0.06730467826128006,0.06730467826128006
3358,Ibrahim Amadou,5,415,0,0.37421488761901855,0,0,1,0,1,0,D S,Norwich,0,0.37421488761901855,0.5214211791753769,0.5214211791753769
3389,Benjamin Mendy,1,49,0,0,0,0,0,0,0,0,D,Manchester City,0,0,0.6781588196754456,0.6781588196754456
3420,Fabinho,8,644,0,0.049681139178574085,1,0.7770644556730986,3,9,3,0,M S,Liverpool,0,0.049681139178574085,3.5417139381170273,3.023740217089653
3422,João Moutinho,8,630,0,0,1,0.8543776273727417,0,13,1,0,M S,Wolverhampton Wanderers,0,0,1.9124212004244328,1.8267737105488777
3600,Serge Aurier,3,210,0,0.12604904547333717,1,0.18184788525104523,2,4,0,1,D,Tottenham,0,0.12604904547333717,0.9876230284571648,0.7945902198553085
4764,Jean-Philippe Gbamin,2,135,0,0,0,0,0,0,0,0,M S,Everton,0,0,0,0
5043,Kiko Femenía,6,540,0,0.08743352815508842,0,0.7109363116323948,3,8,2,0,D M,Watford,0,0.08743352815508842,1.649489788338542,1.2992478143423796
5061,Kepa,8,720,0,0,0,0,0,0,0,0,GK,Chelsea,0,0,1.8551037348806858,1.8551037348806858
5065,Diego Rico,5,450,0,0.032971277832984924,2,1.4289523381739855,2,11,1,0,D M,Bournemouth,0,0.032971277832984924,0.8989985026419163,0.4891394302248955
5087,Roberto Jiménez,2,147,0,0,0,0,0,0,0,0,GK S,West Ham,0,0,0,0
5234,Jesús Vallejo,1,90,0,0,0,0,0,0,0,0,D,Wolverhampton Wanderers,0,0,0.05839471146464348,0.05839471146464348
5245,Bernardo,2,72,0,0,0,0.30253636837005615,0,1,0,0,M S,Brighton,0,0,0.39993149042129517,0.09739510715007782
5261,Kevin Danso,3,213,0,0,1,0.07897821068763733,0,1,0,1,D,Southampton,0,0,0.18012087419629097,0.18012087419629097
5264,Caglar Söyüncü,8,720,0,0.03157912194728851,1,0.02524409629404545,1,1,1,0,D,Leicester,0,0.03157912194728851,0.7400274574756622,0.7084483355283737
5544,Angus Gunn,8,720,0,0,0,0,0,0,0,0,GK,Southampton,0,0,0.4860546290874481,0.4860546290874481
5552,Nick Pope,8,720,0,0,0,0.0613393560051918,0,2,0,0,GK,Burnley,0,0,0.7109181880950928,0.6876525320112705
5553,Declan Rice,8,720,0,0.10718201659619808,0,0.04169542156159878,5,2,1,0,M,West Ham,0,0.10718201659619808,0.9390778914093971,0.7902004476636648
5573,Domingos Quina,1,1,0,0,0,0,0,0,0,0,S,Watford,0,0,0,0
5584,Aaron Wan-Bissaka,6,540,0,0.3137691244482994,0,0.3586643673479557,2,4,2,0,D,Manchester United,0,0.3137691244482994,2.0883485078811646,1.6292213201522827
5598,Angel Gomes,1,8,0,0,0,0,0,0,0,0,S,Manchester United,0,0,0.023194000124931335,0.023194000124931335
5603,Aaron Ramsdale,8,720,0,0,1,0.49542611837387085,0,1,0,0,GK,Bournemouth,0,0,0.986234650015831,0.49080852419137955
5609,Yves Bissouma,3,57,0,0.025975173339247704,0,0,1,0,0,0,M S,Brighton,0,0.025975173339247704,0.025975173339247704,0
5675,Ismaila Sarr,5,163,0,0.19974360056221485,0,0.5180182326585054,4,2,0,0,F S,Watford,0,0.19974360056221485,1.0721109174191952,0.35434911772608757
5681,Giovani Lo Celso,3,37,0,0.020456328988075256,0,0.03738454356789589,1,2,0,0,S,Tottenham,0,0.020456328988075256,0.14320862293243408,0.08536774665117264
5759,Matteo Guendouzi,8,697,0,0.42070822045207024,1,0.7704513855278492,6,7,2,0,M,Arsenal,0,0.42070822045207024,3.8662081956863403,2.875337392091751
6033,Aaron Mooy,5,240,0,0.17758786492049694,0,0.05544998496770859,3,2,0,0,F M S,Brighton,0,0.17758786492049694,0.9484859704971313,0.7398047745227814
6034,Philip Billing,8,679,0,0.3691287888213992,1,0.6317941546440125,10,4,3,0,M,Bournemouth,0,0.3691287888213992,1.5553460204973817,1.1986150918528438
6042,Jan Bednarek,8,720,0,0.05717216059565544,0,0.12154563516378403,1,1,1,0,D,Southampton,0,0.05717216059565544,1.2558010518550873,1.2558010518550873
6044,Charlie Taylor,1,33,0,0,0,0.06827950477600098,0,1,0,0,S,Burnley,0,0,0.06827950477600098,0.06827950477600098
6047,Shane Duffy,4,360,0,0.01234725397080183,0,0,1,0,0,0,D,Brighton,0,0.01234725397080183,1.0861263498663902,1.0737790986895561
