h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.812949,0.543759,0.812949,0.543759,"{'att': 392, 'def': 21}","{'att': 148, 'def': 23}",3,7,0,0,1.584,d,2019-08-11 14:00:00,0,1,0,1,0.26919000000000004
h,0.307356,1.14332,0.307356,0.382148,"{'att': 399, 'def': 20}","{'att': 184, 'def': 22}",5,9,1,1,0.43789999999999996,d,2019-08-19 20:00:00,0,1,0,1,-0.07479199999999997
h,1.32793,1.22762,0.56676,1.22762,"{'att': 142, 'def': 12}","{'att': 307, 'def': 21}",4,4,1,1,1.4707,d,2019-08-25 16:30:00,0,1,0,1,-0.6608599999999999
a,2.00172,1.48842,2.00172,1.48842,"{'att': 242, 'def': 12}","{'att': 160, 'def': 30}",5,4,2,3,1.7717000000000003,l,2019-09-01 14:00:00,0,0,1,0,0.5133000000000001
h,1.49359,3.06799,1.49359,3.06799,"{'att': 367, 'def': 28}","{'att': 213, 'def': 30}",5,6,2,5,0.4052,l,2019-09-14 14:00:00,0,0,1,0,-1.5744
a,1.75572,0.984777,1.75572,0.984777,"{'att': 263, 'def': 21}","{'att': 265, 'def': 19}",5,6,1,1,1.9945000000000002,d,2019-09-22 13:00:00,0,1,0,1,0.7709429999999999
h,1.16363,1.06615,1.16363,1.06615,"{'att': 367, 'def': 16}","{'att': 239, 'def': 21}",5,10,2,0,1.4304000000000001,w,2019-09-28 14:00:00,1,0,0,3,0.09748000000000001
a,1.18825,1.61884,1.18825,1.61884,"{'att': 315, 'def': 16}","{'att': 107, 'def': 26}",1,13,2,0,1.0413000000000001,w,2019-10-06 13:00:00,1,0,0,3,-0.43059000000000003
