h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.13309,0.380551,1.13309,0.380551,"{'att': 210, 'def': 19}","{'att': 383, 'def': 29}",10,1,1,0,2.073,w,2019-08-11 14:00:00,1,0,0,3,0.752539
h,1.1644,1.39172,1.1644,1.39172,"{'att': 85, 'def': 16}","{'att': 296, 'def': 26}",8,4,2,1,1.1533,w,2019-08-17 12:30:00,1,0,0,3,-0.22731999999999997
a,0.985542,2.78821,0.985542,2.02704,"{'att': 199, 'def': 7}","{'att': 362, 'def': 37}",7,9,1,3,0.3434,l,2019-08-24 17:30:00,0,0,1,0,-1.0414979999999998
h,1.92509,1.95514,1.92509,1.19397,"{'att': 224, 'def': 33}","{'att': 207, 'def': 17}",12,6,2,2,1.2919,d,2019-09-01 16:30:00,0,1,0,1,0.73112
a,1.00616,2.83209,1.00616,2.07092,"{'att': 257, 'def': 12}","{'att': 254, 'def': 28}",7,12,2,2,0.3084,d,2019-09-15 15:30:00,0,1,0,1,-1.0647600000000002
h,2.53209,1.71546,1.77093,1.71546,"{'att': 182, 'def': 20}","{'att': 242, 'def': 22}",12,8,3,2,1.9361000000000002,w,2019-09-22 15:30:00,1,0,0,3,0.05546999999999991
a,1.70399,1.1335,1.70399,1.1335,"{'att': 243, 'def': 24}","{'att': 160, 'def': 27}",7,5,1,1,1.825,d,2019-09-30 19:00:00,0,1,0,1,0.5704899999999999
h,1.24109,0.683967,1.24109,0.683967,"{'att': 246, 'def': 35}","{'att': 235, 'def': 23}",10,7,1,0,1.8761999999999999,w,2019-10-06 13:00:00,1,0,0,3,0.557123
