h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.639599,2.57262,0.639599,2.57262,"{'att': 255, 'def': 19}","{'att': 147, 'def': 28}",2,15,1,3,0.2794,l,2019-08-10 17:30:00,0,0,1,0,-1.933021
h,1.65069,1.62777,1.65069,0.866605,"{'att': 117, 'def': 9}","{'att': 268, 'def': 25}",12,9,1,2,1.3698,l,2019-08-17 15:00:00,0,0,1,0,0.784085
h,0.855926,1.25668,0.855926,1.25668,"{'att': 265, 'def': 20}","{'att': 146, 'def': 27}",6,12,2,0,0.9697,w,2019-08-23 20:00:00,1,0,0,3,-0.40075400000000005
a,0.30354,1.41394,0.30354,1.41394,"{'att': 226, 'def': 25}","{'att': 216, 'def': 24}",5,13,0,1,0.4799,l,2019-08-31 15:00:00,0,0,1,0,-1.1104
h,1.40502,0.535279,1.40502,0.535279,"{'att': 213, 'def': 22}","{'att': 222, 'def': 22}",4,9,0,0,2.1614999999999998,d,2019-09-16 19:00:00,0,1,0,1,0.869741
a,1.71546,2.53209,1.71546,1.77093,"{'att': 242, 'def': 22}","{'att': 182, 'def': 20}",8,12,2,3,0.8444,l,2019-09-22 15:30:00,0,0,1,0,-0.05546999999999991
h,0.914266,1.66919,0.914266,1.66919,"{'att': 121, 'def': 20}","{'att': 199, 'def': 22}",3,2,2,2,0.7663,d,2019-09-28 14:00:00,0,1,0,1,-0.7549239999999999
a,3.67827,1.84838,2.76412,1.84838,"{'att': 220, 'def': 25}","{'att': 145, 'def': 24}",9,13,5,1,2.472,w,2019-10-05 14:00:00,1,0,0,3,0.9157400000000002
