h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.855516,0.670022,0.855516,0.670022,"{'att': 230, 'def': 20}","{'att': 274, 'def': 28}",5,7,3,0,1.5457999999999998,w,2019-08-10 15:00:00,1,0,0,3,0.18549400000000005
h,2.40461,1.00856,2.40461,1.00856,"{'att': 192, 'def': 35}","{'att': 275, 'def': 31}",8,4,1,1,2.3339,d,2019-08-17 15:00:00,0,1,0,1,1.39605
h,0.997711,2.07795,0.997711,2.07795,"{'att': 211, 'def': 23}","{'att': 215, 'def': 20}",6,6,0,2,0.5691,l,2019-08-24 15:00:00,0,0,1,0,-1.080239
a,0.861035,2.30818,0.861035,2.30818,"{'att': 346, 'def': 16}","{'att': 366, 'def': 32}",7,16,0,4,0.43790000000000007,l,2019-08-31 15:00:00,0,0,1,0,-1.4471450000000001
h,1.68545,0.341654,1.68545,0.341654,"{'att': 111, 'def': 28}","{'att': 242, 'def': 20}",13,4,1,1,2.4816,d,2019-09-14 14:00:00,0,1,0,1,1.3437959999999998
a,1.21592,1.09807,1.21592,1.09807,"{'att': 128, 'def': 21}","{'att': 458, 'def': 20}",6,4,0,0,1.4292,d,2019-09-21 16:30:00,0,1,0,1,0.11784999999999979
a,0.616263,4.26443,0.616263,3.50326,"{'att': 332, 'def': 26}","{'att': 349, 'def': 24}",0,9,0,2,0.0414,l,2019-09-28 14:00:00,0,0,1,0,-2.886997
h,2.60017,0.478504,2.60017,0.478504,"{'att': 301, 'def': 37}","{'att': 259, 'def': 17}",12,4,3,0,2.8252,w,2019-10-05 11:30:00,1,0,0,3,2.121666
